Line_Num,ESP32_Time,ID0,LinAcc_x,LinAcc_y,LinAcc_z,Pitch_deg,Roll_deg,Yaw_deg,Gyro_deg_x,Gyro_deg_y,Gyro_deg_z,Magnet_uT_x,Magnet_uT_y,Magnet_uT_z,Grav_x,Grav_y,Grav_z,Quat_re,Quat_i,Quat_j,Quat_k,ID1,RawPress_Pa,RawAirspeed,CorrAirspeed,temp_C,ID2,latitude,longitude,heading,gnd_speed,altitude,hours,mins,secs,hundredths,satellites
1,0.066683,0,-0.043,0.035,-0.043,6.667,1.942,179.784,1.007,0.112,-0.224,-3.812,-16.250,-31.062,1.156,0.297,9.883,0.003,-0.058,-0.017,-0.998,1,-38.402,-8.129,0.000,24.548,2,0.000000,0.000000,0.000000,0.000,0.000000,0,0,0,0,0
2,0.086794,0,-0.043,0.027,-0.043,6.667,1.978,179.793,1.567,0.000,-0.224,-3.125,-13.688,-28.875,1.156,0.305,9.883,0.003,-0.058,-0.017,-0.998,1,-38.402,-8.129,0.000,24.548,2,0.000000,0.000000,0.000000,0.000,0.000000,0,0,0,0,0
3,0.098781,0,-0.043,-0.012,-0.004,6.667,1.992,179.794,1.343,0.000,-0.112,-4.938,-14.875,-29.312,1.156,0.305,9.883,0.003,-0.058,-0.017,-0.998,1,-42.611,-8.563,0.000,24.548,2,0.000000,0.000000,0.000000,0.000,0.000000,0,0,0,0,0
4,0.126677,0,-0.004,-0.059,-0.004,6.674,2.013,179.795,1.231,0.000,-0.112,-3.062,-14.375,-28.375,1.156,0.312,9.883,0.003,-0.058,-0.018,-0.998,1,-38.402,-8.129,0.000,24.548,2,0.000000,0.000000,0.000000,0.000,0.000000,0,0,0,0,0
5,0.166678,0,-0.004,-0.020,-0.004,6.674,2.027,179.796,1.007,0.000,0.224,-5.812,-14.125,-28.250,1.156,0.312,9.883,0.003,-0.058,-0.018,-0.998,1,-38.402,-8.129,0.000,24.548,2,0.000000,0.000000,0.000000,0.000,0.000000,0,0,0,0,0
6,0.206675,0,0.004,0.027,-0.004,6.667,2.041,179.797,0.112,0.224,0.112,-2.875,-15.062,-29.438,1.156,0.312,9.883,0.003,-0.058,-0.018,-0.998,1,-42.611,-8.563,0.000,24.548,2,0.000000,0.000000,0.000000,0.000,0.000000,0,0,0,0,0
7,0.224677,0,-0.035,0.066,-0.004,6.667,2.005,179.787,-1.007,0.112,0.336,-2.188,-14.188,-30.125,1.148,0.305,9.883,0.003,-0.058,-0.018,-0.998,1,-38.402,-8.129,0.000,24.548,2,0.000000,0.000000,0.000000,0.000,0.000000,0,0,0,0,0
8,0.243677,0,0.004,-0.012,-0.004,6.667,1.998,179.780,-0.895,0.000,0.224,-4.875,-15.125,-29.750,1.148,0.305,9.883,0.003,-0.058,-0.018,-0.998,1,-35.246,-7.788,0.000,24.548,2,0.000000,0.000000,0.000000,0.000,0.000000,0,0,0,0,0
9,0.276677,0,0.043,0.035,0.043,6.667,1.970,179.778,-0.895,0.000,0.000,-1.688,-18.250,-29.250,1.148,0.297,9.883,0.003,-0.058,-0.017,-0.998,1,-35.246,-7.788,0.000,24.548,2,0.000000,0.000000,0.000000,0.000,0.000000,0,0,0,0,0
10,0.302670,0,0.043,0.035,0.043,6.667,1.927,179.769,-1.119,0.224,-0.112,-5.375,-15.375,-28.000,1.148,0.297,9.875,0.003,-0.058,-0.017,-0.998,1,-35.246,-7.788,0.000,24.548,2,0.000000,0.000000,0.000000,0.000,0.000000,0,0,0,0,0
11,0.318781,0,0.082,-0.004,0.082,6.667,1.899,179.767,-0.895,0.112,-0.112,-4.312,-13.375,-29.750,1.148,0.289,9.875,0.003,-0.058,-0.017,-0.998,1,-38.402,-8.129,0.000,24.548,2,0.000000,0.000000,0.000000,0.000,0.000000,0,0,0,0,0
12,0.343672,0,-0.035,0.043,0.035,6.667,1.878,179.773,-0.671,-0.112,-0.112,-5.250,-15.500,-29.250,1.148,0.297,9.883,0.003,-0.058,-0.016,-0.998,1,-38.402,-8.129,0.000,24.548,2,0.000000,0.000000,0.000000,0.000,0.000000,0,0,0,0,0
13,0.355782,0,-0.035,0.035,-0.004,6.660,1.864,179.772,-0.448,0.000,-0.112,-5.875,-15.438,-30.812,1.148,0.297,9.883,0.003,-0.058,-0.016,-0.998,1,-38.402,-8.129,0.000,24.548,2,0.000000,0.000000,0.000000,0.000,0.000000,0,0,0,0,0
14,0.382672,0,0.004,0.035,0.035,6.660,1.858,179.779,-0.336,0.000,-0.336,-6.938,-14.812,-28.938,1.148,0.297,9.883,0.003,-0.058,-0.016,-0.998,1,-38.402,-8.129,0.000,24.548,2,0.000000,0.000000,0.000000,0.000,0.000000,0,0,0,0,0
15,0.394816,0,0.004,-0.043,-0.004,6.660,1.851,179.778,0.112,-0.112,0.000,-2.188,-14.938,-29.188,1.148,0.297,9.883,0.003,-0.058,-0.016,-0.998,1,-38.402,-8.129,0.000,24.548,2,0.000000,0.000000,0.000000,0.000,0.000000,0,0,0,0,0
16,0.410781,0,0.004,-0.082,0.035,6.660,1.851,179.778,0.336,-0.112,-0.112,-5.062,-17.000,-29.312,1.148,0.297,9.883,0.003,-0.058,-0.016,-0.998,1,-38.402,-8.129,0.000,24.548,2,0.000000,0.000000,0.000000,0.000,0.000000,0,0,0,0,0
17,0.436678,0,0.004,-0.043,-0.043,6.660,1.858,179.779,0.448,0.224,-0.112,-3.375,-14.438,-29.562,1.148,0.297,9.883,0.003,-0.058,-0.016,-0.998,1,-35.246,-7.788,0.000,24.548,2,0.000000,0.000000,0.000000,0.000,0.000000,0,0,0,0,0
18,0.452781,0,-0.035,0.004,-0.043,6.660,1.865,179.779,0.560,0.112,-0.112,-4.500,-18.062,-28.750,1.148,0.289,9.883,0.003,-0.058,-0.016,-0.998,1,-38.402,-8.129,0.000,24.548,2,0.000000,0.000000,0.000000,0.000,0.000000,0,0,0,0,0
19,0.476677,0,0.012,0.004,0.035,6.653,1.865,179.786,0.448,0.112,-0.336,-1.938,-16.812,-28.812,1.141,0.289,9.883,0.003,-0.058,-0.016,-0.998,1,-35.246,-7.788,0.000,24.548,2,0.000000,0.000000,0.000000,0.000,0.000000,0,0,0,0,0
20,0.501677,0,0.012,-0.004,0.035,6.653,1.879,179.787,0.783,0.112,-0.224,-3.375,-13.938,-30.500,1.141,0.297,9.883,0.003,-0.058,-0.016,-0.998,1,-42.611,-8.563,0.000,24.548,2,0.000000,0.000000,0.000000,0.000,0.000000,0,0,0,0,0
21,0.536678,0,0.012,-0.004,-0.078,6.646,1.893,179.788,0.895,0.000,0.336,-3.750,-14.250,-30.438,1.141,0.305,9.883,0.003,-0.058,-0.017,-0.998,1,-35.246,-7.788,0.000,24.548,2,0.000000,0.000000,0.000000,0.000,0.000000,0,0,0,0,0
22,0.554677,0,0.043,-0.012,0.113,6.646,1.914,179.775,0.560,0.000,0.336,-4.375,-15.250,-31.000,1.141,0.305,9.883,0.003,-0.058,-0.017,-0.998,1,-35.246,-7.788,0.000,24.548,2,0.000000,0.000000,0.000000,0.000,0.000000,0,0,0,0,0
23,0.570781,0,0.004,-0.012,0.027,6.646,1.920,179.768,0.336,0.112,0.000,-4.750,-15.688,-30.062,1.148,0.305,9.891,0.003,-0.058,-0.017,-0.998,1,-35.246,-7.788,0.000,24.548,2,0.000000,0.000000,0.000000,0.000,0.000000,0,0,0,0,0
24,0.595676,0,0.004,0.027,-0.051,6.646,1.913,179.768,-0.224,0.112,0.224,-3.500,-16.125,-30.062,1.148,0.305,9.891,0.003,-0.058,-0.017,-0.998,1,-42.611,-8.563,0.000,24.548,2,0.000000,0.000000,0.000000,0.000,0.000000,0,0,0,0,0
25,0.621671,0,-0.035,-0.012,-0.051,6.646,1.892,179.760,-0.448,-0.112,0.112,-4.062,-14.938,-29.875,1.148,0.297,9.891,0.003,-0.058,-0.017,-0.998,1,-38.402,-8.129,0.000,24.548,2,0.000000,0.000000,0.000000,0.000,0.000000,0,0,0,0,0
26,0.635677,0,-0.035,-0.004,-0.078,6.646,1.878,179.759,-0.448,-0.112,-0.112,-2.812,-15.375,-29.500,1.148,0.297,9.883,0.003,-0.058,-0.016,-0.998,1,-38.402,-8.129,0.000,24.548,2,0.000000,0.000000,0.000000,0.000,0.000000,0,0,0,0,0
27,0.651781,0,-0.035,-0.004,-0.043,6.646,1.864,179.758,-0.112,-0.112,0.000,-5.000,-19.812,-28.750,1.148,0.297,9.883,0.003,-0.058,-0.016,-0.998,1,-38.402,-8.129,0.000,24.548,2,0.000000,0.000000,0.000000,0.000,0.000000,0,0,0,0,0
28,0.675683,0,0.004,0.074,0.113,6.646,1.857,179.757,-0.112,0.112,0.000,-2.125,-15.250,-29.188,1.148,0.297,9.883,0.003,-0.058,-0.016,-0.998,1,-32.090,-7.431,0.000,24.548,2,0.000000,0.000000,0.000000,0.000,0.000000,0,0,0,0,0
29,0.695677,0,0.004,0.074,0.113,6.646,1.864,179.758,0.336,0.112,-0.560,-3.750,-14.438,-29.188,1.148,0.305,9.883,0.003,-0.058,-0.016,-0.998,1,-35.246,-7.788,0.000,24.548,2,0.000000,0.000000,0.000000,0.000,0.000000,0,0,0,0,0
30,0.715678,0,-0.035,0.059,-0.051,6.646,1.871,179.772,0.448,0.112,-0.560,-2.125,-17.625,-29.438,1.148,0.305,9.883,0.003,-0.058,-0.016,-0.998,1,-32.090,-7.431,0.000,24.548,2,0.000000,0.000000,0.000000,0.000,0.000000,0,0,0,0,0
31,0.727781,0,-0.035,0.020,-0.012,6.639,1.879,179.780,0.336,-0.112,-0.448,-4.750,-16.062,-29.562,1.148,0.312,9.891,0.003,-0.058,-0.016,-0.998,1,-35.246,-7.788,0.000,24.548,2,0.000000,0.000000,0.000000,0.000,0.000000,0,0,0,0,0
32,0.755676,0,-0.027,-0.027,-0.012,6.639,1.879,179.787,0.112,-0.112,-0.671,-4.500,-18.500,-27.875,1.141,0.312,9.891,0.003,-0.058,-0.016,-0.998,1,-32.090,-7.431,0.000,24.548,2,0.000000,0.000000,0.000000,0.000,0.000000,0,0,0,0,0
33,0.767781,0,0.012,-0.020,-0.012,6.638,1.866,179.800,-1.119,-0.224,-0.224,-2.312,-16.438,-28.938,1.141,0.312,9.891,0.003,-0.058,-0.016,-0.998,1,-38.402,-8.129,0.000,24.548,2,0.000000,0.000000,0.000000,0.000,0.000000,0,0,0,0,0
