Line_Num,ESP32_Time_s,ID0_IMU,LinAcc_x,LinAcc_y,LinAcc_z,Pitch,Roll,Yaw,Gyro_x,Gyro_y,Gyro_z,Magnet_uT_x,Magnet_uT_y,Magnet_uT_z,Grav_x,Grav_y,Grav_z,Quat_re,Quat_i,Quat_j,Quat_k,ID1_ASPD,RawPress_Pa,temp_C,RawAirspeed,CorrAirspeed,ID2_GPS,latitude,longitude,heading,gnd_speed,altitude,hours,mins,secs,hundredths,satellites,ID3_AP,Flight_Phase,AP_Mode,AP_HDG_TGT,AP_ROLL_TGT,AP_PITCH_TGT,ID4_SERVO,servo_L_angle,servo_R_angle,servo_Angle_TGT,servo_Action_TGT
1,0.035615,0,0.026,-0.026,0.179,0.003,1.547,277.860,0.112,0.000,0.000,-31.875,5.125,22.375,0.000,-0.897,-31.706,0.009,-0.657,0.754,-0.010,1,-40.697,12.976,-26.859,0.000,2,0.000000,0.000000,0.000000,0.000,0.000000,0,0,0,0,0,3,U_TURN_HDG,AP_HDG_SEL_IMU,97.860,30.000,0.000,4,-9,-14,9,ROLL_RIGHT
2,0.104608,0,0.051,0.051,-0.167,0.007,1.552,277.870,-19.136,3.693,2.462,-31.875,5.125,22.375,0.000,-0.948,-31.706,0.009,-0.657,0.754,-0.010,1,-38.631,12.973,-26.169,0.000,2,0.000000,0.000000,0.000000,0.000,0.000000,0,0,0,0,0,3,U_TURN_HDG,AP_HDG_SEL_IMU,97.860,30.000,0.000,4,-9,-14,9,ROLL_RIGHT
3,0.150536,0,-0.551,-1.064,0.205,0.163,0.879,277.856,22.157,-4.364,0.112,-31.875,5.125,22.375,0.077,-0.487,-31.732,0.004,-0.657,0.754,-0.007,1,-40.156,12.985,-26.680,0.000,2,0.000000,0.000000,0.000000,0.000,0.000000,0,0,0,0,0,3,U_TURN_HDG,AP_HDG_SEL_IMU,97.860,-30.000,0.000,4,9,4,9,ROLL_LEFT
4,0.206140,0,1.230,0.282,4.985,0.086,1.270,277.881,-42.300,9.960,0.895,-31.875,5.125,22.375,0.000,-0.897,-31.732,0.007,-0.657,0.754,-0.009,1,-42.222,12.990,-27.358,0.000,2,0.000000,0.000000,0.000000,0.000,0.000000,0,0,0,0,0,3,U_TURN_HDG,AP_HDG_SEL_IMU,97.860,30.000,0.000,4,-9,-14,9,ROLL_RIGHT
5,0.270536,0,1.282,6.421,3.371,0.142,1.110,277.891,60.765,-13.205,0.336,-31.875,5.125,22.375,0.000,-1.102,-31.758,0.005,-0.657,0.754,-0.008,1,-39.144,13.019,-26.342,0.000,2,0.000000,0.000000,0.000000,0.000,0.000000,0,0,0,0,0,3,U_TURN_HDG,AP_HDG_SEL_IMU,97.860,30.000,0.000,4,-9,-14,9,ROLL_RIGHT
6,0.335108,0,0.026,5.690,1.230,0.269,0.480,277.955,2.350,0.000,0.000,-31.875,5.125,22.375,0.154,-0.256,-31.783,0.001,-0.656,0.754,-0.005,1,-41.279,13.033,-27.051,0.000,2,0.000000,0.000000,0.000000,0.000,0.000000,0,0,0,0,0,3,U_TURN_HDG,AP_HDG_SEL_IMU,97.860,30.000,0.000,4,-9,-14,9,ROLL_RIGHT
7,0.395195,0,-0.577,-0.782,0.538,0.137,1.160,277.970,-25.738,5.483,-0.895,-31.875,5.125,22.375,0.077,-0.615,-31.783,0.006,-0.656,0.755,-0.008,1,-38.890,13.055,-26.256,0.000,2,0.000000,0.000000,0.000000,0.000,0.000000,0,0,0,0,0,3,U_TURN_HDG,AP_HDG_SEL_IMU,97.860,30.000,0.000,4,-9,-14,9,ROLL_RIGHT
8,0.450233,0,0.910,1.692,-1.499,0.059,1.506,277.970,20.367,-3.133,-0.336,-31.875,5.125,22.375,0.000,-1.000,-31.783,0.008,-0.656,0.754,-0.010,1,-40.832,13.008,-26.904,0.000,2,0.000000,0.000000,0.000000,0.000,0.000000,0,0,0,0,0,3,U_TURN_HDG,AP_HDG_SEL_IMU,97.860,30.000,0.000,4,-9,-14,9,ROLL_RIGHT
9,0.515792,0,0.077,-0.782,0.000,0.147,1.096,277.970,-6.491,1.231,-0.448,-31.875,5.125,22.375,0.077,-0.590,-31.783,0.005,-0.656,0.755,-0.008,1,-38.848,12.999,-26.242,0.000,2,0.000000,0.000000,0.000000,0.000,0.000000,0,0,0,0,0,3,U_TURN_HDG,AP_HDG_SEL_IMU,97.860,30.000,0.000,4,-9,-14,9,ROLL_RIGHT
10,0.573947,0,0.103,-0.756,0.128,0.003,1.730,277.970,-17.233,4.029,-0.560,-31.875,5.125,22.375,0.051,-0.666,-31.783,0.010,-0.656,0.754,-0.011,1,-39.144,13.015,-26.342,0.000,2,0.000000,0.000000,0.000000,0.000,0.000000,0,0,0,0,0,3,U_TURN_HDG,AP_HDG_SEL_IMU,97.860,30.000,0.000,4,-8,-13,8,ROLL_RIGHT
