Line_Num,ESP32_Time_s,ID0_IMU,LinAcc_x,LinAcc_y,LinAcc_z,Pitch,Roll,Yaw,Gyro_x,Gyro_y,Gyro_z,Magnet_uT_x,Magnet_uT_y,Magnet_uT_z,Grav_x,Grav_y,Grav_z,Quat_re,Quat_i,Quat_j,Quat_k,ID1_ASPD,RawPress_Pa,temp_C,RawAirspeed,CorrAirspeed,ID2_GPS,latitude,longitude,heading,gnd_speed,altitude,hours,mins,secs,hundredths,satellites,ID3_AP,Flight_Phase,AP_Mode,AP_HDG_TGT,AP_ROLL_TGT,AP_PITCH_TGT,ID4_SERVO,servo_L_angle,servo_R_angle,servo_Angle_TGT,servo_Action_TGT
1,0.035612,0,1.794,-0.782,-6.933,-1.307,-2.050,250.689,14.772,-456.688,-76.096,-31.875,5.125,22.375,-3.435,-0.231,-22.556,0.008,0.816,-0.578,-0.020,1,354.035,9.677,78.350,78.350,2,0.000000,0.000000,0.000000,0.000,0.000000,0,0,0,0,0,3,U_TURN_HDG,AP_HDG_SEL_IMU,70.689,30.000,0.000,4,0,-2,9,ROLL_RIGHT
2,0.104043,0,-2.576,2.666,64.117,-22.057,2.998,245.131,43.308,-197.961,-78.894,-31.875,5.125,22.375,-5.280,0.000,-22.223,0.125,-0.824,0.532,0.147,1,362.736,9.635,79.307,79.307,2,41.518307,-86.239922,107.570000,33.302,1199.803223,11,29,1,8,11,3,U_TURN_HDG,AP_PROT_PITCH_MIN,70.689,0.000,18.000,4,0,16,9,PITCH_NOSE_UP
3,0.165547,0,2.576,10.906,-30.015,-21.294,24.084,243.908,271.707,91.427,-15.107,-31.875,5.125,22.375,-12.534,-2.230,-18.942,0.270,-0.795,0.541,0.045,1,367.009,9.641,79.773,79.773,2,41.518303,-86.239914,106.660004,33.267,1200.787476,11,29,1,16,11,3,U_TURN_HDG,AP_PROT_PITCH_MIN,70.689,0.000,18.000,4,0,16,9,PITCH_NOSE_UP
4,0.231234,0,-3.358,4.626,-74.024,-14.010,24.436,248.045,-21.150,387.530,42.188,-31.875,5.125,22.375,-9.586,-9.356,-18.250,0.241,-0.790,0.564,-0.019,1,367.864,9.712,79.866,79.866,2,41.518303,-86.239906,104.910004,33.424,1202.427856,11,29,1,28,11,3,U_TURN_HDG,AP_HDG_SEL_IMU,70.689,30.000,0.000,4,7,5,2,ROLL_RIGHT
5,0.308849,0,-9.676,6.549,-53.801,6.811,20.128,261.836,84.713,444.602,153.199,-31.875,5.125,22.375,1.640,-7.561,-21.531,0.094,-0.750,0.636,-0.158,1,364.307,9.672,79.479,79.479,2,41.518299,-86.239891,104.639999,33.614,1204.068237,11,29,1,36,11,3,U_TURN_HDG,AP_HDG_SEL_IMU,70.689,30.000,0.000,4,6,4,3,ROLL_RIGHT
6,0.388073,0,-16.532,14.020,12.662,20.061,36.314,281.094,152.080,71.620,78.670,-31.875,5.125,22.375,5.818,-13.021,-18.634,0.067,-0.636,0.688,-0.342,1,358.621,9.692,78.856,78.856,2,41.518295,-86.239891,105.370003,32.870,1205.052490,11,29,1,44,11,3,U_TURN_HDG,AP_PROT_ROLL_MAX,70.689,-30.000,0.000,4,18,16,9,ROLL_LEFT
7,0.516703,0,-5.306,6.767,-9.830,16.740,22.144,281.886,-85.384,-130.258,-37.488,-31.875,5.125,22.375,2.153,-3.922,-23.940,0.009,-0.633,0.736,-0.238,1,360.717,9.721,79.086,79.086,2,41.518295,-86.239876,105.769997,30.770,1206.692871,11,29,1,56,11,3,U_TURN_HDG,AP_HDG_SEL_IMU,70.689,30.000,0.000,4,7,5,2,ROLL_RIGHT
8,0.632889,0,3.934,4.242,-12.726,1.356,10.794,275.963,111.906,-98.925,8.729,-31.875,5.125,22.375,-1.948,-2.666,-24.914,0.054,-0.667,0.739,-0.078,1,359.635,9.708,78.968,78.968,2,41.518291,-86.239861,105.849998,28.013,1208.333374,11,29,1,68,11,3,U_TURN_HDG,AP_HDG_SEL_IMU,70.689,30.000,0.000,4,3,1,6,ROLL_RIGHT
9,0.712922,0,-0.051,12.444,-10.855,-0.370,16.409,276.757,348.363,29.319,-11.191,-31.875,5.125,22.375,-1.692,-13.149,-22.376,0.097,-0.657,0.740,-0.105,1,337.443,9.684,76.492,76.492,2,41.518291,-86.239861,105.510002,26.023,1209.317627,11,29,1,76,11,3,U_TURN_HDG,AP_HDG_SEL_IMU,70.689,30.000,0.000,4,5,3,4,ROLL_RIGHT
10,0.921784,0,-0.115,20.941,-6.267,1.494,55.062,277.213,365.932,5.483,36.034,-31.875,5.125,22.375,-2.025,-21.966,-14.636,0.297,-0.591,0.661,-0.354,1,309.719,9.680,73.283,73.283,2,41.518288,-86.239853,106.389999,18.122,1210.630005,11,29,1,96,12,3,U_TURN_HDG,AP_PROT_ROLL_MAX,70.689,-30.000,0.000,4,18,16,9,ROLL_LEFT
11,0.995960,0,8.728,24.106,-46.021,-1.499,79.213,280.173,168.754,300.915,181.623,-31.875,5.125,22.375,-12.252,-23.940,3.153,0.417,-0.488,0.596,-0.482,1,394.046,9.698,82.659,82.659,2,41.518288,-86.239861,105.430000,13.388,1210.301880,11,29,2,4,12,3,U_TURN_HDG,AP_PROT_ROLL_MAX,70.689,-30.000,0.000,4,18,16,9,ROLL_LEFT
12,1.076674,0,16.827,19.800,-37.012,-40.853,105.587,323.146,29.543,225.938,269.581,-31.875,5.125,22.375,-19.839,-18.173,-2.153,0.436,0.085,0.625,-0.641,1,431.343,9.684,86.483,86.483,2,41.518288,-86.239861,104.400002,11.389,1210.301880,11,29,2,12,12,3,U_TURN_HDG,AP_PROT_ROLL_MAX,70.689,-30.000,0.000,4,18,16,9,ROLL_LEFT
